id,name
365,Silverstream
145,Skye Way
420,Snowdon
440,Soldier
146,Somerset Hospital
147,Spencer
425,Spine
148,St Bedes
149,St James
151,St Johns Wood
214,St Michael's
152,Stadium
339,Starke
419,Starling
353,Steve Biko
153,Stirling
154,Strand
446,Studio
155,Sunset Beach
156,Surrey
220,Susan
374,Swawel
492,Swift
157,Table View
479,Tafelsig Primary
158,The Castle
159,The Glen
160,Thibault Square
161,Three Anchor Bay
454,Tijgerhof
340,Tom Henshilwood
387,Tortelduif
162,Tramway
163,Tritonia
164,Tryall
386,Tsitsikamma
377,Turf Club
354,Tutu
165,Upper Buitenkant
166,Upper Kloof
167,Upper Long
168,Upper Loop
169,Upper Mountain
170,Upper Orange
287,Upper Portswood
171,Upper Roodebloem
172,Upper Salt River
292,Upper Tafelberg
301,Usasaza
173,Valderrama
293,Valley
383,Valleyfield
174,Van Riebeeck
450,Venus
447,Victoria
175,Viola
176,Vrystaat
355,Vuyani
177,Waldeck
178,Wandsworth
181,Water's Edge
194,Waterford
180,Waterfront
213,Waterfront Silo
445,Waterstone
202,Waterview
182,Waterville
183,Welgemeend
370,Wesfleur Hospital
341,Wesfleur Park
184,West Beach
185,Wexford
234,Whale Rock
286,Wigtown
186,Wood
187,Wood Central
188,Wood North
189,Woodbridge
224,Woodford
190,Woodlands
191,Woodstock
453,Zastron
192,Zoarvlei
193,Zonnebloem
